O_ID,D_ID,OD_Number
10000004,10000162,2
10000004,10000163,1
10000004,10000164,3
10000004,10000165,6
10000004,10000166,8
10000004,10000167,1
10000004,10000168,2
10000004,10000169,9
10000004,10000170,1
10000004,10000171,1
10000004,10000172,1
10000004,10000173,1
10000004,10000174,6
10000004,10000175,1
10000004,10000176,1
10000004,10000178,5
10000004,10000179,11
10000004,10000180,6
10000004,10000181,4
10000004,10000182,3
10000004,10000183,2
10000004,10000185,1
10000004,10000186,2
10000004,10000189,1
10000004,10000190,3
10000004,10000191,6
10000004,10000193,1
10000005,10000000,1
10000005,10000003,5
10000005,10000004,7
10000005,10000005,30
10000005,10000006,7
10000005,10000008,11
10000005,10000009,1
10000005,10000010,3
10000005,10000011,114
10000005,10000014,4
10000005,10000015,1
10000005,10000017,1
10000005,10000018,3
10000005,10000020,4
10000005,10000021,7
10000005,10000022,4
10000005,10000024,5
10000005,10000025,1
10000005,10000026,3
10000005,10000027,1
10000005,10000030,3
10000005,10000031,3
10000005,10000033,8
10000005,10000034,8
10000005,10000035,4
10000005,10000036,3
10000005,10000041,2
10000005,10000043,1
10000005,10000044,3
10000005,10000045,1
10000005,10000048,16
10000005,10000050,6
10000005,10000051,3
10000005,10000052,8
10000005,10000054,2
10000005,10000057,1
10000005,10000060,1
10000005,10000061,1
10000005,10000067,4
10000005,10000068,4
10000005,10000069,2
10000005,10000071,1
10000005,10000073,4
10000005,10000075,1
10000005,10000076,7
10000005,10000077,11
10000005,10000078,2
10000005,10000079,77
10000005,10000080,12
10000005,10000081,7
10000005,10000083,6
10000005,10000084,1
10000005,10000087,1
10000005,10000090,2
10000005,10000092,1
10000005,10000093,6
10000005,10000094,1
10000005,10000095,3
10000005,10000096,21
10000005,10000099,2
10000005,10000100,7
10000005,10000101,5
10000005,10000102,3
10000005,10000103,5
10000005,10000104,1
10000005,10000105,3
10000005,10000106,3
10000005,10000107,2
10000005,10000109,4
10000005,10000110,22
10000005,10000112,5
10000005,10000114,5
10000005,10000115,2
10000005,10000116,1
